index,city,district,min_booking_duration,first_pic_category,beds,rooms,deposit,area,price,accommodates,number_of_pics,cleaning_fee,clicks
17097,141,458,6,HALL_CORRIDOR,3,4,6.0,118.0,2200.0,3,4,0.0,1197
33696,822,923,1,LIVING_DINING_ROOM,1,1,500.0,,1990.0,,5,,0
6595,141,496,2,LIVING_DINING_ROOM,1,2,0.0,50.0,1390.0,2,19,0.0,16
4029,656,766,3,LIVING_DINING_ROOM,1,2,580.0,50.0,580.0,2,10,0.0,0
23309,822,923,6,ROOM_BEDROOM,1,1,1200.0,33.0,1200.0,1,10,80.0,3
30132,822,923,6,LIVING_DINING_ROOM,1,1,1500.0,25.0,790.0,1,14,80.0,170
151,174,228,1,LIVING_DINING_ROOM,1,2,1000.0,67.0,700.0,2,19,120.0,0
31632,349,440,1,,1,1,500.0,,600.0,,,,0
6866,141,455,3,LIVING_DINING_ROOM,1,2,1200.0,68.0,880.0,1,12,50.0,0
31804,542,650,1,LIVING_DINING_ROOM,3,3,3000.0,70.0,2300.0,4,18,350.0,1779
32303,824,925,2,LIVING_DINING_ROOM,3,3,500.0,80.0,1925.0,4,8,100.0,427
31463,311,396,6,TERRACE,2,3,500.0,94.0,1300.0,2,12,0.0,966
1783,656,766,3,LIVING_DINING_ROOM,2,3,2000.0,93.0,2000.0,4,19,100.0,0
4056,141,287,4,LIVING_DINING_ROOM,1,3,2000.0,95.0,1400.0,2,5,150.0,0
27508,263,348,1,KITCHEN,1,1,1000.0,30.0,1050.0,2,11,0.0,62
20488,271,356,1,LIVING_DINING_ROOM,1,1,0.0,38.0,1650.0,2,6,150.0,0
7430,141,458,3,LIVING_DINING_ROOM,1,1,6000.0,120.0,3000.0,3,37,80.0,424
9806,1194,1248,3,LIVING_DINING_ROOM,2,2,1390.0,45.0,1390.0,4,41,75.0,781
5469,141,248,1,KITCHEN,1,1,500.0,,550.0,,1,0.0,0
11355,888,984,9,LIVING_DINING_ROOM,1,1,2000.0,41.0,698.0,2,15,80.0,1459
4109,271,356,1,,1,1,1090.0,,1090.0,,,,0
