district,min_booking_duration,first_pic_category,rooms,deposit,area,price,number_of_pics,cleaning_fee,deposit_ratio,clicks
1004,6,UNCATEGORIZED,2,500.0,60.0,583.0,10.0,80.0,0.8576329331046312,0
1248,1,LIVING_DINING_ROOM,0,1190.0,55.0,1190.0,16.0,80.0,1.0,0
458,1,LIVING_DINING_ROOM,1,820.0,41.0,760.0,12.0,50.0,1.0789473684210527,1143
496,12,LIVING_ROOM,4,3000.0,120.0,4450.0,23.0,200.0,0.6741573033707865,917
648,1,ROOM_BEDROOM,1,1000.0,26.0,980.0,6.0,0.0,1.0204081632653061,154
1248,1,LIVING_DINING_ROOM,2,2300.0,52.0,1200.0,9.0,150.0,1.9166666666666667,1275
1052,1,LIVING_DINING_ROOM,3,3400.0,70.0,3400.0,23.0,120.0,1.0,333
440,6,LIVING_DINING_ROOM,3,2400.0,121.0,2400.0,27.0,150.0,1.0,900
809,1,OUTDOOR_BUILDING,3,1590.0,82.0,1590.0,15.0,125.0,1.0,1009
1228,1,LIVING_DINING_ROOM,2,0.0,40.0,1350.0,14.0,0.0,0.0,192
287,3,LIVING_ROOM,1,1500.0,40.0,2930.0,15.0,215.0,0.5119453924914675,87
1379,1,LIVING_DINING_ROOM,3,2550.0,98.0,2320.0,10.0,92.0,1.0991379310344827,2218
49,3,ROOM_BEDROOM,1,1300.0,42.0,1300.0,12.0,100.0,1.0,279
374,3,OUTDOOR_BUILDING,2,1000.0,90.0,1890.0,2.0,0.0,0.5291005291005291,52
567,6,LIVING_DINING_ROOM,2,1490.0,50.0,1490.0,7.0,100.0,1.0,0
1325,3,LIVING_DINING_ROOM,3,3000.0,65.0,3000.0,12.0,99.0,1.0,366
1234,6,LIVING_DINING_ROOM,2,2000.0,53.0,1399.0,23.0,0.0,1.4295925661186561,0
893,3,LIVING_DINING_ROOM,2,1500.0,51.0,1299.0,28.0,0.0,1.1547344110854503,0
951,2,LIVING_DINING_ROOM,2,2000.0,57.0,1300.0,32.0,60.0,1.5384615384615385,157
896,5,ROOM_BEDROOM,2,1475.0,45.0,1475.0,24.0,200.0,1.0,1076
837,1,ROOM_BEDROOM,3,1900.0,87.0,1900.0,23.0,200.0,1.0,358
984,1,BATHROOM,1,1300.0,18.0,650.0,10.0,100.0,2.0,867
925,1,LIVING_DINING_ROOM,2,1590.0,45.0,1950.0,41.0,60.0,0.8153846153846154,80
440,1,ROOM_BEDROOM,1,3500.0,44.0,1200.0,11.0,100.0,2.9166666666666665,0
766,6,LIVING_DINING_ROOM,2,2700.0,46.0,1120.0,17.0,0.0,2.4107142857142856,0
1024,12,LIVING_DINING_ROOM,1,1500.0,53.0,890.0,12.0,0.0,1.6853932584269662,0
172,1,LIVING_DINING_ROOM,1,500.0,55.0,2500.0,14.0,0.0,0.2,0
356,1,OUTDOOR_BUILDING,3,2000.0,180.0,2920.0,24.0,200.0,0.684931506849315,772
458,6,KITCHEN,4,4000.0,138.0,4000.0,19.0,350.0,1.0,547
405,1,LIVING_DINING_ROOM,1,700.0,33.0,535.0,1.0,0.0,1.308411214953271,0
440,10,LIVING_DINING_ROOM,3,2200.0,90.0,2200.0,6.0,0.0,1.0,0
959,6,KITCHEN,3,3800.0,89.0,2200.0,20.0,300.0,1.7272727272727273,113
923,1,ROOM_BEDROOM,3,1000.0,60.0,2590.0,11.0,120.0,0.3861003861003861,2212
